Date,Open,High,Low,Close,Volume
2024-01-02,49.2417,49.2927,47.5928,48.1657,411273520.2428
2024-01-03,47.4828,48.1818,47.3178,47.5668,320911229.72144
2024-01-04,47.7648,48.4977,47.5058,47.9957,306549275.74369
2024-01-05,48.4597,49.5447,48.3037,49.0947,415058747.87595
2024-01-08,49.5097,52.2725,49.4767,52.2505,642540053.11811
2024-01-09,52.3985,54.3225,51.6876,53.1375,773136341.74044
2024-01-10,53.6135,54.5974,53.4865,54.3474,533820811.14178
2024-01-11,54.9964,55.3434,53.5575,54.8194,596786776.00843
2024-01-12,54.6174,54.9674,54.3275,54.7074,353010166.06025
2024-01-16,55.0154,56.8323,54.8974,56.3794,449600828.86664
2024-01-17,56.3444,56.468,54.7374,56.0504,474416703.42595
2024-01-18,57.2573,57.5973,56.1044,57.1043,491673433.24972
2024-01-19,57.9863,59.4972,57.2223,59.4882,543526986.63316
2024-01-22,60.0462,60.3282,59.0672,59.6512,452975887.25138
2024-01-23,59.5672,59.9072,58.5823,59.8702,294668278.19227
2024-01-24,60.3012,62.8461,59.9352,61.3591,560297053.61882
2024-01-25,62.3471,62.7161,60.8471,61.6141,482799496.81366
2024-01-26,60.9571,61.7801,60.5702,61.0281,390326907.26019
2024-01-29,61.2291,62.4861,60.9041,62.4621,348749346.1085
2024-01-30,62.897,63.49,62.2571,62.7711,410754575.88978
2024-01-31,61.4371,62.2661,60.6972,61.5241,453816166.68401
2024-02-01,62.0971,63.188,61.6471,63.024,369163114.08575
2024-02-02,63.971,66.5969,63.687,66.1569,476600015.88443
2024-02-05,68.2218,69.4937,67.2018,69.3287,680109926.19702
2024-02-06,69.6267,69.7507,66.2969,68.2198,683143418.55275
2024-02-07,68.3158,70.2167,67.5968,70.0957,495597807.41275
2024-02-08,70.0707,70.7907,69.4517,69.6377,414441558.91251
2024-02-09,70.5297,72.1816,70.2087,72.1296,436657381.45658
2024-02-12,72.5966,74.6075,71.2467,72.2446,613738981.54149
2024-02-13,70.3967,73.4466,69.6167,72.1246,602608429.20696
2024-02-14,73.1986,74.2325,71.9346,73.8965,504941115.8755
2024-02-15,73.8655,73.9715,72.3966,72.6546,420141526.40057
2024-02-16,74.0965,74.3985,72.4976,72.6096,495349865.77734
2024-02-20,71.9436,71.9526,67.7308,69.4487,704866177.95835
2024-02-21,68.0028,68.8848,66.2449,67.4688,690330525.8293
2024-02-22,75.0215,78.5713,74.2165,78.5343,865140339.30382
2024-02-23,80.7862,82.3901,77.5664,78.8133,829427293.36208
2024-02-26,79.6963,80.6422,78.5013,79.0883,503996381.54101
2024-02-27,79.3773,79.4763,77.1584,78.6973,391723622.80525
2024-02-28,77.6164,78.9293,77.1214,77.6594,393128848.74969
2024-02-29,79.0903,79.9862,78.3463,79.1083,507312787.17329
2024-03-01,79.9962,82.2961,79.4313,82.2751,479157585.90607
2024-03-04,84.1261,87.6909,83.7151,85.233,615645341.00312
2024-03-05,85.27,86.097,83.417,85.964,520639300
2024-03-06,88.022,89.724,87.03,88.7,582520300
2024-03-07,90.158,92.767,89.602,92.669,608119160
2024-03-08,95.1379,97.4,86.506,87.528,1142269060
2024-03-11,86.429,88.797,84.166,85.774,678364120
2024-03-12,88.049,91.96,86.1501,91.913,668075150
2024-03-13,91.055,91.504,88.435,90.888,635712890
2024-03-14,89.577,90.646,86.6,87.944,602318160
2024-03-15,86.93,89.546,86.257,87.8365,642086160
2024-03-18,90.388,92.405,87.085,88.455,668975930
2024-03-19,86.7,90.544,85.01,89.398,672171270
2024-03-20,89.797,90.41,88.223,90.372,479062790
2024-03-21,92.3,92.648,90.405,91.435,480372310
2024-03-22,91.141,94.778,90.834,94.289,586719360
2024-03-25,93.941,96.766,93.51,95.002,552136080
2024-03-26,95.851,96.375,92.502,92.561,513647580
2024-03-27,93.112,93.24,89.123,90.25,586067230
2024-03-28,90,91.3,89.193,90.356,435212270
2024-04-01,90.299,92.225,89.204,90.363,452441490
2024-04-02,88.448,90.094,87.62,89.452,433063550
2024-04-03,88.484,90.374,88.4,88.964,370066550
2024-04-04,90.406,90.634,85.88,85.905,434964920
2024-04-05,86.866,88.481,85.926,88.008,399678460
2024-04-08,88.7,88.83,86.732,87.133,283220000
2024-04-09,87.442,87.635,83.022,85.354,503547350
2024-04-10,83.926,87.4,83.709,87.039,431928530
2024-04-11,87.42,90.739,86.926,90.616,431637270
2024-04-12,89.699,90.175,87.53,88.186,426804790
2024-04-15,89.098,90.613,85.929,86.001,443076950
2024-04-16,86.4325,88.118,86.0639,87.415,370453020
2024-04-17,88.34,88.775,83.95,84.035,495399510
2024-04-18,84.97,86.19,82.402,84.671,447260340
2024-04-19,83.15,84.324,75.606,76.2,871480670
2024-04-22,78.104,80.073,76.4,79.518,596340510
2024-04-23,80.769,82.769,80.264,82.423,438559370
2024-04-24,83.95,84.082,79.183,79.677,512207530
2024-04-25,78.868,83.323,78.223,82.632,424640730
2024-04-26,83.818,88.3309,83.387,87.735,551010780
2024-04-29,87.595,87.992,85.266,87.757,388970760
2024-04-30,87.24,88.819,86.3,86.402,363708700
2024-05-01,85.077,86,81.2546,83.041,559863170
2024-05-02,84.449,86.237,83.2,85.817,377897540
2024-05-03,87.789,89.281,87.04,88.789,398340720
2024-05-06,89.39,92.22,89.055,92.14,376202550
2024-05-07,91.098,91.781,89.011,90.554,437341610
2024-05-08,89.4825,91.194,89.42,90.412,325721020
2024-05-09,90.529,91.072,88.231,88.747,378012680
2024-05-10,90.3045,91.401,89.227,89.878,335325410
2024-05-13,90.478,90.998,88.529,90.399,289680170
2024-05-14,89.599,91.651,88.934,91.356,296507080
2024-05-15,92.472,94.862,91.599,94.63,417735450
2024-05-16,94.91,95.819,94.103,94.359,323951820
2024-05-17,94.369,94.74,91.806,92.479,359691030
2024-05-20,93.75,95.2,93.44,94.78,318764460
2024-05-21,93.599,95.4,93.18,95.386,328946460
2024-05-22,95.459,96.02,93.249,94.95,548647990
2024-05-23,102.028,106.32,101.52,103.799,835065280
2024-05-24,104.449,106.475,103,106.469,429493670
2024-05-28,110.244,114.939,109.883,113.901,652727890
2024-05-29,113.05,115.492,110.901,114.825,557441930
2024-05-30,114.65,115.819,109.663,110.5,487350330
2024-05-31,112.52,112.717,106.94,109.633,613262500
2024-06-03,113.621,115,112.003,115,438391760
2024-06-04,115.716,116.6,114.045,116.437,403324010
2024-06-05,118.371,122.449,117.468,122.44,528401780
2024-06-06,124.048,125.587,118.32,120.998,664696190
2024-06-07,119.77,121.692,118.022,120.888,412385800
2024-06-10,120.37,123.1,117.01,121.79,314162650
