Date,Open,High,Low,Close,Volume,Prev_Close,Prev_High,Prev_Low,Prev_Volume,MA5_Close,MA10_Close,Volatility_Close,MA5_Volume,MA10_Volume,Volatility_Volume,MA5_Open,MA10_Open,Volatility_Open,MA5_High,MA10_High,Volatility_High,MA5_Low,MA10_Low,Volatility_Low,MACD_Close,MACD_Volume,MACD_Open,MACD_High,MACD_Low,RSI_14_Close,RSI_14_Volume,RSI_14_Open,RSI_14_High,RSI_14_Low
2024-06-04,115.716,116.6,114.045,116.437,403324010,115.0,115.0,112.003,438391760.0,113.279,108.09,3.0141780803395855,499954106.0,529465182.0,85775572.17320865,113.9114,107.5336,1.281058858912692,115.1256,109.47819999999999,1.4668024065974294,110.7104,105.4384,2.652341569254971,4.720538369075882,21348389.126464367,4.81873686508996,4.7820748509487885,4.52207379000933,79.65049292454299,45.48016951388866,85.13090074409476,85.1646435320144,82.56373664904484
2024-06-05,118.371,122.449,117.468,122.44,528401780,116.437,116.6,114.045,403324010.0,114.80199999999999,110.7954,5.154542608224283,494146076.0,549410714.0,81800900.53281215,114.97559999999999,110.01079999999999,2.238741901157566,116.51700000000001,112.1831,3.620221194899557,112.02380000000001,107.8672,4.035572908522136,5.342731562123319,22473185.36517465,5.1669472162481185,5.305708427816782,4.985974122007278,82.83399001330326,49.857767498599564,86.53965489764502,88.01560553113143,84.39188017001027
2024-06-06,124.048,125.587,118.32,120.998,664696190,122.44,122.449,117.468,528401780.0,116.90159999999999,113.4002,5.10193221240733,529615248.0,561015534.0,111261401.35038371,116.8552,112.8697,4.598527122894731,118.47059999999999,115.1398,5.364674668607585,113.75520000000002,110.37429999999999,4.588666004406688,5.663212648340206,32655533.090566456,5.7760779698314195,5.871491373255765,5.3484898352994605,79.61209203459549,54.17555432317657,88.95033249410177,89.21327835968094,84.81854361526774
2024-06-07,119.77,121.692,118.022,120.888,412385800,120.998,125.587,118.32,664696190.0,119.1526,115.10910000000001,3.234296028504413,489439908.0,518747586.0,109763369.01769628,118.30520000000001,114.64389999999999,3.992975294188329,120.26559999999999,116.67699999999999,4.366987439872002,115.97160000000001,112.02450000000002,2.8026732417457243,5.838939919991077,22323146.40542215,5.87994867282174,5.967620934440234,5.547319771828853,79.35851350311405,46.23781850571959,77.66270626731743,78.70002125997671,83.95408886705248
2024-06-10,120.37,123.1,117.01,121.79,314162650,120.888,121.692,118.022,412385800.0,120.5106,116.6412,2.3629248401079868,464594086.0,507214484.0,135297466.82398576,119.655,116.23599999999999,3.0408582670026347,121.8856,118.3395,3.296498035794917,116.973,113.42550000000001,1.7127746495080505,5.972401634094723,6983074.130736113,5.935309271564861,6.073699439495414,5.565334367668356,79.92321670257772,43.5619544848667,78.08278707875051,79.63431896577654,80.93727888837435
2024-06-11,121.77,122.87,118.74,120.91,222551158,121.79,123.1,117.01,314162650.0,121.4052,117.34209999999999,0.6887330397180755,428439515.6,464196810.8,174296163.2492772,120.8658,117.3886,2.157231837331854,123.1396,119.1326,1.469395556002427,117.912,114.31120000000001,0.6846327482653408,5.943641630586129,-11670917.86867559,6.010400941119215,6.069252399591505,5.639378589222886,77.69011648560885,41.16887832389906,79.07178915705649,79.02452809806917,82.1201020772412
2024-06-12,123.06,126.88,122.57,125.2,299595001,120.91,122.87,118.74,222551158.0,121.95720000000001,118.37960000000001,1.8509179344312559,382678159.8,438412117.9,171504049.74004105,121.8036,118.3896,1.789395093320119,124.0258,120.2714,2.1344440025448397,118.9324,115.4781,2.131234102579363,6.163788540358908,-20502228.92667061,6.092955995548721,6.286585226035669,5.909902435431917,80.54406283550196,43.9571925305053,79.96873529977606,81.66116984163831,84.42430246993143
2024-06-13,129.39,129.8,127.16,129.61,260704537,125.2,126.88,122.57,299595001.0,123.67960000000001,120.29060000000001,3.7588416832847873,301879829.2,415747538.6,71337403.35769168,122.87199999999999,119.86359999999999,3.860585447830164,124.8684,121.6695,3.3755581464403215,120.70039999999999,117.22779999999997,4.179051423468861,6.586850787114216,-30006544.39334005,6.549799115253819,6.597052365194003,6.388416810336778,82.95755677059208,42.85309696183163,83.66770715287922,83.30669504509812,86.64547440695834
2024-06-14,129.96,132.84,128.32,131.88,309320376,129.61,129.8,127.16,260704537.0,125.87800000000001,122.5153,4.790727502164896,281266744.4,385353326.2,38972414.28448006,124.91,121.6076,4.4572020371526735,127.098,123.6818,4.306358090080239,122.75999999999999,119.36580000000001,4.988301314074459,7.008305871709595,-33506942.228555858,6.872939802274644,6.987093801665566,6.773787187120291,84.05407327096466,44.72225649441112,83.9550257890436,84.83257396941914,87.14442123778116
2024-06-17,132.99,133.73,129.58,130.98,288504444,131.88,132.84,128.32,309320376.0,127.71600000000001,124.11330000000001,4.588892023135763,276135103.2,370364594.6,35049861.92509402,127.434,123.54450000000001,4.803345708982212,129.22400000000002,125.5548,4.460350883058348,125.274,121.12349999999999,4.510585327870088,7.190113890268719,-37397271.51729083,7.270488964208241,7.277145206370491,7.090050743215102,81.80670137237142,44.05778087951826,85.42306720764965,85.25743775537045,87.68273716228192
