Date,Open,High,Low,Close,Volume,Prev_Close,Prev_High,Prev_Low,Prev_Volume,MA5_Close,MA10_Close,Volatility_Close,MA5_Volume,MA10_Volume,Volatility_Volume,MA5_Open,MA10_Open,Volatility_Open,MA5_High,MA10_High,Volatility_High,MA5_Low,MA10_Low,Volatility_Low,MACD_Close,MACD_Volume,MACD_Open,MACD_High,MACD_Low,RSI_14_Close,RSI_14_Volume,RSI_14_Open,RSI_14_High,RSI_14_Low
2024-04-18,84.97,86.19,82.402,84.671,447260340,84.035,88.775,83.95,495399510.0,86.0616,86.84580000000001,1.759922952859046,436598922.0,423300622.0,44956493.420618,87.70790000000001,87.28935,1.9633612250424013,88.7742,88.6956,1.764377708995439,85.17497999999999,85.21898999999999,2.005918630453392,-0.4071948135554777,4813181.157046676,-0.24511504947695073,-0.28397343329869784,-0.3922284130326119,38.3940731784918,49.69809277423696,40.57612760607673,31.910530139234993,32.425383997593215
2024-04-19,83.15,84.324,75.606,76.2,871480670,84.671,86.19,82.402,447260340.0,83.6644,85.66499999999999,4.3701989428400445,525534098.0,470480843.0,198471173.7720742,86.3981,86.91775,2.4316271404144127,87.604,88.2799,2.421121331119118,82.79017999999999,84.18699000000001,4.291786983530305,-0.9799174676126938,30394118.467782736,-0.4713995120180954,-0.5163059916846748,-0.9181897296859773,27.98366298230843,67.1748333017785,37.94567135992697,28.479627363878265,23.5274185507447
2024-04-22,78.104,80.073,76.4,79.518,596340510,76.2,84.324,75.606,871480670.0,82.3678,84.90350000000001,4.464348519101116,556186810.0,501792894.0,194344828.99803677,84.1993,85.85815,3.90449323856502,85.49600000000001,87.4042,3.4961004705242686,80.88438,83.15378999999999,4.650257608133148,-1.200943780598422,32735594.908785462,-0.9432160195991344,-0.9439308440108363,-1.257589445536496,35.3751140151722,54.05668376303954,31.79194747268228,22.5353104459129,26.079656273709148
2024-04-23,80.769,82.769,80.264,82.423,438559370,79.518,80.073,76.4,596340510.0,81.3694,84.6104,3.5095027140608384,569808080.0,495294096.0,179924379.354376,83.0666,85.19085,3.9161524229784423,84.4262,86.9176,3.3064391269158424,79.72439999999999,82.87799,3.6513442456169862,-1.1748289186193404,24350835.93882346,-1.1264143142928305,-1.0914995492090043,-1.2617005515830755,41.07723202809883,48.239000557020745,37.55202818864385,32.20044265285556,37.0842961058867
2024-04-24,83.95,84.082,79.183,79.677,512207530,82.423,82.769,80.264,438559370.0,80.49780000000001,83.8742,3.21040491215679,573169684.0,503321996.0,178336630.63699445,82.18860000000001,85.19325,2.759629830248959,83.4876,86.58579999999999,2.2655971177594605,78.771,82.42539,2.7938244397242133,-1.313541623609538,22274036.28636861,-1.0523248721366798,-1.1083293659065419,-1.3175169855344109,37.691739126015996,50.89552163439107,43.66715812822896,36.36464536294772,35.49237823698296
2024-04-25,78.868,83.323,78.223,82.632,424640730,79.677,84.082,79.183,512207530.0,80.09,83.0758,2.623666613729814,568645762.0,502622342.0,182565860.18909484,80.9682,84.33805,2.56444656797522,82.9142,85.84419999999999,1.7038126951047101,77.93520000000001,81.55509,1.9264705292322397,-1.2146070324267981,14789766.135042846,-1.3085910398895209,-1.1564713425687216,-1.4059700651618385,43.12412023159616,47.75710317208578,37.370971628198845,35.02542845704993,34.09271833459336
2024-04-26,83.818,88.3309,83.387,87.735,551010780,82.632,83.323,78.223,424640730.0,82.397,83.0307,3.325552059433194,504551784.0,515042941.0,73114626.1595208,81.1018,83.74994999999998,2.719255817314707,83.71558,85.65979,2.989730929699193,79.4914,81.14079,2.5996784993533812,-0.7910607464543205,17080163.60261351,-1.1676538329420652,-0.8531844844564915,-1.120566835870136,51.05946939110435,52.325912469636954,45.5988160161631,48.501518194487225,46.34913018859765
2024-04-29,87.595,87.992,85.266,87.757,388970760,87.735,88.3309,83.387,551010780.0,84.04480000000001,83.20630000000001,3.5742803751245207,463077834.0,509632322.0,66551398.33046136,83.0,83.59965,3.3442650164124084,85.29938000000001,85.39768999999998,2.6566534817322376,81.2646,81.07449,2.9623205937238035,-0.45288064415187534,7924622.946773887,-0.7948834769079411,-0.6310523962470569,-0.762312767394107,51.09114949574664,46.687704207919694,50.89939864339687,47.779310222614406,49.99317939111866
2024-04-30,87.24,88.819,86.3,86.402,363708700,87.757,87.992,85.266,388970760.0,84.84060000000001,83.10499999999999,3.565865575144448,448107700.0,508957890.0,80419058.11755666,84.29419999999999,83.68039999999999,3.51290139343533,86.50938,85.46779000000001,2.593049984477747,82.4718,81.0981,3.6113974718936785,-0.2765501250054996,-952604.0618380904,-0.520621444102531,-0.3960840597905104,-0.4065085369388157,48.98772271579544,45.85809892756094,50.402310874650624,49.745819340064386,51.92815906320862
2024-05-01,85.077,86.0,81.2546,83.041,559863170,86.402,88.819,86.3,363708700.0,85.5134,83.0056,2.5086891597007837,457638828.0,515404256.0,91917333.10180119,84.5196,83.35409999999999,3.5214407988776246,86.89298,85.19029,2.265346684726213,82.88611999999999,80.82856,3.239437909884991,-0.3648584390394092,5500316.225536168,-0.4486960479963926,-0.4006765010743436,-0.4685205392985239,44.134062801930064,52.86220033995199,47.36696745769314,43.704223699620115,43.15361432113665
